dataset,horizon_sec,feature_name,positive_rows,negative_rows,block,variable_type,behavioural_reason,selection_status,primary_association_test,effect_size,test,n_positive_nonmissing,n_negative_nonmissing,positive_mean,negative_mean,positive_median,negative_median,statistic,p_value,effect_size_name,test_detail,q_value_bh,fdr_significant_0p05
group_snapshot,1,cohort_eligible_member_count,316,3375,group_structure,numeric,Group size and eligible composition may affect collective crossing initiation.,candidate,mann_whitney_u,0.16568776371308025,mann_whitney_u,316,3375,2.1930379746835444,1.8702222222222222,2.0,2.0,621603.0,1.0389315078526276e-07,rank_biserial,two_sided,3.3765274005210396e-07,True
group_snapshot,2,cohort_eligible_member_count,613,3078,group_structure,numeric,Group size and eligible composition may affect collective crossing initiation.,candidate,mann_whitney_u,0.15528133668713506,mann_whitney_u,613,3078,2.137030995106036,1.850227420402859,2.0,2.0,1089900.5,3.324382079906251e-11,rank_biserial,two_sided,8.643393407756252e-11,True
group_snapshot,3,cohort_eligible_member_count,770,2921,group_structure,numeric,Group size and eligible composition may affect collective crossing initiation.,candidate,mann_whitney_u,0.11529586469675479,mann_whitney_u,770,2921,2.0779220779220777,1.8503937007874016,2.0,2.0,1254245.0,7.62155822188168e-08,rank_biserial,two_sided,1.333772688829294e-07,True
group_snapshot,1,eligible_member_fraction_of_group,316,3375,group_structure,numeric,Group size and eligible composition may affect collective crossing initiation.,candidate,mann_whitney_u,0.10296952648851376,mann_whitney_u,316,3375,0.8068204650483132,0.7488178726139512,1.0,1.0,588158.5,0.0008348086951273531,rank_biserial,two_sided,0.0014609152164728678,True
group_snapshot,2,eligible_member_fraction_of_group,613,3078,group_structure,numeric,Group size and eligible composition may affect collective crossing initiation.,candidate,mann_whitney_u,0.09851474496161261,mann_whitney_u,613,3078,0.7991409530345334,0.7447505467242309,1.0,1.0,1036346.5,2.1224168527903962e-05,rank_biserial,two_sided,3.576665437109742e-05,True
group_snapshot,3,eligible_member_fraction_of_group,770,2921,group_structure,numeric,Group size and eligible composition may affect collective crossing initiation.,candidate,mann_whitney_u,0.07223864803460822,mann_whitney_u,770,2921,0.7850700776178241,0.7455363325099716,1.0,1.0,1205823.5,0.0006644823895762389,rank_biserial,two_sided,0.0010248796178209786,True
group_snapshot,1,dbscan_centroid_x_m,316,3375,analysis_control,numeric,Used for subgroup analysis rather than the primary behavioural model.,subgroup_analysis_only,mann_whitney_u,0.12097233942803554,mann_whitney_u,316,3375,2.655857256329114,2.3005043875555553,2.2534644999999998,1.900229,597758.5,0.0003692034161672317,rank_biserial,two_sided,0.0006587747229650605,True
group_snapshot,2,dbscan_centroid_x_m,613,3078,analysis_control,numeric,Used for subgroup analysis rather than the primary behavioural model.,subgroup_analysis_only,mann_whitney_u,0.1233354215094864,mann_whitney_u,613,3078,2.6518685644371938,2.2670103219623132,2.234758,1.886091,1059762.5,1.3704371304563787e-06,rank_biserial,two_sided,2.445289781794715e-06,True
group_snapshot,3,dbscan_centroid_x_m,770,2921,analysis_control,numeric,Used for subgroup analysis rather than the primary behavioural model.,subgroup_analysis_only,mann_whitney_u,0.09555925074583071,mann_whitney_u,770,2921,2.5724914792207794,2.267249148236905,2.098885,1.889647,1232049.5,4.4041874539336227e-05,rank_biserial,two_sided,7.4218714501474e-05,True
group_snapshot,1,dbscan_centroid_y_m,316,3375,group_motion,numeric,Current DBSCAN geometry and motion describe the time-local group state.,candidate,mann_whitney_u,0.4628410689170184,mann_whitney_u,316,3375,-0.8044618765822784,-1.702399568,-0.7878944999999999,-1.900275,780060.0,2.838354137187847e-42,rank_biserial,two_sided,3.228627831051176e-41,True
