feature_1,feature_2,spearman_rho,absolute_rho,pairwise_nonmissing_n,flag_abs_rho_ge_0p80
history_neighbor_mean_vy_mps,neighbor_low_speed_wait_min_sec,-0.01720472660699101,0.01720472660699101,21963,False
history_neighbor_mean_vx_mps,neighbor_low_speed_wait_min_sec,0.01609892647157864,0.01609892647157864,21963,False
history_neighbor_mean_vx_mps,neighbor_low_speed_fraction,0.012726510032332543,0.012726510032332543,21963,False
history_neighbor_mean_vy_mps,neighbor_wait_min_sec,-0.010867702162135617,0.010867702162135617,21963,False
history_neighbor_mean_vy_mps,neighbor_low_speed_fraction,-0.008874546134586266,0.008874546134586266,21963,False
history_neighbor_mean_vx_mps,neighbor_wait_max_sec,-0.008232286932572193,0.008232286932572193,21963,False
history_neighbor_mean_vy_mps,neighbor_low_speed_wait_max_sec,0.008135788181238104,0.008135788181238104,21963,False
history_neighbor_mean_vx_mps,neighbor_wait_mean_sec,-0.004931312661842505,0.004931312661842505,21963,False
history_neighbor_mean_vy_mps,neighbor_wait_max_sec,0.004633683428921254,0.004633683428921254,21963,False
history_neighbor_mean_vy_mps,neighbor_low_speed_wait_mean_sec,0.004538908305854613,0.004538908305854613,21963,False
history_neighbor_mean_vx_mps,neighbor_low_speed_wait_mean_sec,0.003688665392797387,0.003688665392797387,21963,False
history_mean_neighbor_count,history_neighbor_mean_vy_mps,0.003128814893770387,0.003128814893770387,21963,False
history_neighbor_mean_vx_mps,neighbor_wait_min_sec,-0.002767658434030256,0.002767658434030256,21963,False
current_neighbor_count,history_neighbor_mean_vy_mps,0.002704850375300265,0.002704850375300265,21963,False
history_neighbor_mean_vy_mps,history_neighbor_mean_speed_mps,0.002359368371876873,0.002359368371876873,21963,False
history_neighbor_mean_vx_mps,history_neighbor_mean_speed_mps,-0.001683453381009836,0.001683453381009836,21963,False
history_neighbor_mean_vx_mps,neighbor_low_speed_wait_max_sec,0.001189264696087712,0.001189264696087712,21963,False
history_neighbor_mean_vy_mps,neighbor_wait_mean_sec,-0.0005960270951135197,0.0005960270951135197,21963,False
