dataset,feature_name,horizon_sec,level,negative_count,positive_count,total_count,positive_rate,overall_training_fraction,rare_level_under_1_percent_or_50_rows
group_snapshot,veh1_class,2,9,1281,225,1506,0.14940239043824702,0.4080195069086968,False
group_snapshot,veh1_class,2,missing,130,27,157,0.17197452229299362,0.04253589813058792,False
group_snapshot,veh1_class,3,0,20,6,26,0.23076923076923078,0.007044161473855324,True
group_snapshot,veh1_class,3,1,371,125,496,0.25201612903225806,0.1343809265781631,False
group_snapshot,veh1_class,3,10,128,44,172,0.2558139534883721,0.04659983744242752,False
group_snapshot,veh1_class,3,11,9,0,9,0.0,0.002438363587103766,True
group_snapshot,veh1_class,3,13,7,9,16,0.5625,0.004334868599295584,True
group_snapshot,veh1_class,3,2,38,9,47,0.19148936170212766,0.012733676510430777,True
group_snapshot,veh1_class,3,3,103,27,130,0.2076923076923077,0.035220807369276616,False
group_snapshot,veh1_class,3,4,14,3,17,0.17647058823529413,0.004605797886751558,True
group_snapshot,veh1_class,3,5,206,45,251,0.17928286852589642,0.06800325115144946,False
group_snapshot,veh1_class,3,6,3,0,3,0.0,0.000812787862367922,True
group_snapshot,veh1_class,3,7,553,144,697,0.2065997130559541,0.18883771335681387,False
group_snapshot,veh1_class,3,8,121,43,164,0.2621951219512195,0.044432403142779735,False
group_snapshot,veh1_class,3,9,1224,282,1506,0.18725099601593626,0.4080195069086968,False
group_snapshot,veh1_class,3,missing,124,33,157,0.21019108280254778,0.04253589813058792,False
group_snapshot,veh2_present,1,0,316,43,359,0.11977715877437325,0.09726361419669466,False
group_snapshot,veh2_present,1,1,3059,273,3332,0.0819327731092437,0.9027363858033053,False
group_snapshot,veh2_present,2,0,289,70,359,0.19498607242339833,0.09726361419669466,False
group_snapshot,veh2_present,2,1,2789,543,3332,0.16296518607442978,0.9027363858033053,False
group_snapshot,veh2_present,3,0,269,90,359,0.25069637883008355,0.09726361419669466,False
group_snapshot,veh2_present,3,1,2652,680,3332,0.20408163265306123,0.9027363858033053,False
